GENDER,AGE_RANGE,OCCUPATION,FIELD_OF_EDUCATION,HOMETOWN,MARITAL_STATUS,SPOUSE_WILLING,SPOUSE_OCCUPATION,PREF_RENT,PREF_HOMETOWN,PREF_SCHOOL,PREF_SPOUSE,PREF_SECURITY,SECURITY,SCHOOL,RENT,DISTANCE,ANSWER1
1,20,4,2,"Jiban Nagar, Chuadanga",2,4,8,2,4,2,2,5,3,3,3,3,3
1,20,5,2,"Shahzadpur, Sirajganj ",2,4,8,5,1,4,3,4,1,1,2,1,1
1,20,5,2,Sirajgonj ,2,4,8,3,4,3,5,5,2,1,3,1,1
2,20,5,4,Dhaka,2,4,8,5,3,5,5,5,1,3,2,3,1
1,26,2,2,Kishoreganj,1,2,5,4,4,5,5,5,1,1,1,2,3
1,20,4,2,"Jiban Nagar, Chuadanga",2,4,8,2,4,2,2,5,2,3,1,3,4
1,20,5,3,Gazipur,2,4,8,5,3,5,5,5,3,2,1,3,5
2,20,5,1,Dhaka ,2,4,8,4,1,5,5,5,3,2,3,3,3
2,20,5,2,Patuakhali,2,4,8,2,1,1,1,5,1,3,3,3,1
1,20,5,2,Dhaka,2,4,8,2,4,4,4,5,1,3,1,1,2
1,20,2,2,Dhaka,2,4,8,5,5,5,5,5,2,3,3,2,4
1,26,5,2,Dhaka,2,4,8,5,5,1,1,5,2,3,3,3,3
1,20,5,2,????,2,4,8,2,5,5,3,5,3,1,3,1,2
2,20,5,2,Patuakhali,2,4,8,2,1,1,1,5,3,1,2,1,5
2,20,5,2,Cumilla,2,4,8,4,1,5,5,5,3,2,3,2,5
1,26,3,2,Tangail,2,4,8,5,3,2,3,5,3,2,1,1,5
2,20,5,2,Chittagong,2,4,8,3,2,5,5,5,1,2,2,2,3
2,20,5,2,"Faridpur Sadar, Faridpur",2,4,8,2,1,1,1,5,1,3,3,2,1
1,26,3,2,Dhaka,1,3,7,5,4,5,5,5,2,3,1,1,3
1,20,2,2,Dhaka,2,2,1,4,1,3,4,5,3,1,3,2,1
1,20,2,2,Dhaka,2,4,8,4,1,4,4,5,1,1,1,1,2
1,20,6,2,Chittagong,2,4,8,5,2,1,1,5,3,2,3,1,5
1,20,2,2,Chattogram,2,4,8,2,4,1,4,5,2,1,3,1,1
2,26,1,1,Dhaka,2,4,8,5,5,4,5,5,3,1,1,3,4
1,20,5,2,Naogaon,2,4,8,5,3,4,4,5,3,2,3,2,4
2,26,1,1,Dhaka,2,4,8,5,5,4,5,5,1,3,1,3,1
2,20,4,2,Shariatpur,1,1,2,3,1,2,5,5,1,2,3,1,1
1,20,5,2,"Goila, Barisal",2,4,8,5,3,3,3,5,1,2,1,3,1
2,20,1,5,"Choddogram, cumilla",2,4,8,2,5,5,5,5,1,2,3,2,5
2,36,4,3,Faridpur,1,1,3,2,4,5,4,5,2,3,3,2,3
1,20,6,2,Narsingdi ,2,4,8,4,5,3,5,5,1,1,2,3,1
2,20,2,2,Dhaka,2,4,8,3,3,3,3,5,3,1,1,3,4
2,20,5,2,Laxmipur,2,4,8,5,4,2,5,5,1,2,2,3,2
1,41,4,4,Chuadanga,1,1,3,5,3,5,5,5,2,3,1,2,4
1,20,5,2,"Feni Sadar, Feni",1,4,8,4,2,5,5,5,3,3,1,3,4
2,20,5,3,Munshiganj ,2,4,8,4,1,3,5,5,2,2,3,3,3
2,20,1,1,Chadpur,2,4,8,3,4,3,3,5,2,3,2,1,3
1,20,5,2,Dhaka,2,4,8,5,3,3,3,5,1,3,3,1,2
1,20,5,2,Hathazari,2,4,8,4,5,4,5,5,2,1,2,1,2
2,36,1,1,Barisal,1,2,1,5,3,5,3,5,2,2,2,1,4
2,20,2,2,Jessore ,1,1,4,4,2,4,5,5,3,3,1,3,5
1,26,3,3,Barisal,2,4,8,3,3,3,5,5,2,2,2,3,1
1,26,3,2,Dhaka,1,3,7,5,4,5,5,5,3,2,3,2,5
2,20,5,4,Brahmanbaria ,2,4,8,3,1,1,5,5,3,1,1,3,4
2,20,2,2,Jessore ,1,1,2,3,4,4,4,4,3,2,2,1,5
2,20,6,2,Dhaka,2,4,8,4,4,3,5,5,1,2,3,3,1
1,20,2,2,Dhaka,2,4,8,4,1,4,4,5,2,2,2,3,2
1,26,2,2,Manikgonj,2,4,8,2,5,4,5,5,3,2,1,1,5
1,20,5,2,"Jhalakati,Barisal",2,4,8,4,3,1,1,5,3,1,1,2,3
1,20,3,3,"Ramganj, Laxmipur",2,4,8,4,2,2,4,5,3,2,3,2,4
2,20,5,2,"Faridpur Sadar, Faridpur",2,4,8,2,1,1,1,5,2,1,2,3,3
2,26,2,2,"Bhuapur, Tangail",2,4,8,2,3,4,5,5,1,3,3,2,1
1,20,2,2,"Narsingd, Narsingdi  ",2,4,8,4,1,1,1,5,1,2,3,3,3
2,20,1,1,feni,2,4,8,5,5,5,1,2,3,3,1,3,3
2,20,5,3,Rajshahi ,2,4,8,5,5,5,5,5,3,2,3,2,5
1,31,4,5,Sirajganj ,2,4,8,4,1,5,1,4,3,2,2,1,3
2,41,6,3,"Kaulajani, Tangail",1,2,3,4,2,2,5,5,3,2,3,2,2
2,26,3,4,Comilla,1,1,3,4,4,4,4,5,3,3,2,2,4
1,31,2,2,Brahambaria,1,3,6,4,3,4,4,4,1,3,1,3,1
1,20,5,2,Dhaka,2,4,8,5,5,3,5,5,1,3,3,1,1
2,20,5,2,Faridpur ,1,1,4,5,3,5,5,5,1,3,2,3,3
1,20,5,3,Dhaka,2,4,8,4,5,1,4,5,2,1,2,1,2
2,20,5,4,Brahmanbaria,2,4,8,1,1,4,4,4,1,2,3,3,1
1,20,4,2,Gopalganj,2,4,8,5,4,4,4,5,1,2,1,1,3
2,20,5,1,Shariatpur ,2,4,8,5,3,4,3,5,2,2,1,1,2
1,20,5,2,Chittagong,2,4,8,4,1,4,1,5,1,1,1,2,1
2,20,5,2,"Dhaka, Bangladesh ",2,4,8,4,3,5,5,5,1,3,1,1,3
2,20,2,2,Khulna,2,4,8,5,2,2,5,5,1,2,3,3,1
1,41,7,5,Bogura,1,2,4,4,4,2,5,4,2,3,1,1,3
1,36,2,2,Pabna,1,1,2,3,3,5,5,5,2,2,2,1,3
1,20,7,4,Jamalpur,2,4,8,4,2,4,3,3,1,3,2,1,3
2,20,5,1,"Fulgazi, Feni",2,4,8,3,5,2,5,3,3,2,3,2,2
1,26,5,2,"Faridpur, Dhaka",2,4,8,5,1,5,5,5,3,2,1,3,5
1,20,5,2,dhaka,2,4,8,3,3,3,3,3,3,2,1,2,2
1,20,5,2,"Manirampur,Jashore",2,4,8,2,3,4,1,2,2,2,3,1,4
2,20,5,1,B.baria,2,4,8,1,1,5,5,5,2,1,3,1,2
1,26,2,2,"Uttar Matlab, Chandpur",2,4,8,2,4,3,3,3,2,1,2,2,4
1,20,5,3,Chandpur ,2,4,8,2,2,2,1,2,2,2,1,3,3
1,20,2,2,Pabna,2,4,8,3,4,4,5,5,1,1,1,2,1
1,20,5,3,Madaripur ,2,4,8,3,3,5,1,5,2,3,1,3,3
1,26,6,2,"Shajahanpur, Bogura",2,4,8,5,3,4,5,5,1,3,1,3,2
1,20,5,2,Dhaka,2,4,8,2,3,5,5,5,3,3,1,3,3
1,20,2,2,Narayanganj,2,4,8,3,2,4,5,5,3,2,1,3,4
2,20,5,2,Cumilla,2,4,8,4,1,5,5,5,2,3,1,1,4
1,20,5,2,"Lalpur, Natore",2,4,8,4,2,3,5,5,1,1,1,2,1
1,20,2,2,Dhaka,2,4,8,3,4,4,4,5,2,1,2,2,3
1,20,2,2,Narayanganj,2,4,8,3,2,4,5,5,1,3,2,3,4
1,20,2,2,Gazipur,2,4,8,5,3,5,5,5,1,1,1,2,1
1,26,7,4,Dhaka,2,4,8,5,4,4,5,5,1,1,2,1,1
2,20,5,1,Khulna,2,4,8,5,4,4,2,5,1,1,1,3,1
1,26,2,2,Sylhet,2,4,8,3,2,3,4,4,2,2,3,1,3
1,26,5,5,Munshigonj,2,4,8,4,2,5,5,5,3,3,1,3,4
2,20,5,2,Patuakhali,2,4,8,2,1,1,1,5,2,1,2,2,2
1,20,5,2,Shariatpur,2,4,8,4,2,4,4,5,3,2,1,3,5
1,26,5,3,"Nabinagar, Brahmanbaria ",2,4,8,4,5,5,5,5,1,3,3,2,2
2,20,5,1,Brahmanbaria ,2,4,8,3,1,5,5,5,1,3,1,2,2
1,26,2,2,Noakhali ,2,4,8,3,1,5,5,5,2,3,2,3,4
2,26,4,2,Lakhsmipur,1,2,2,5,5,4,5,5,3,1,3,3,5
1,20,5,1,"Mohammadpur, Dhaka ",2,4,8,5,2,4,4,5,1,1,1,1,2
2,20,2,2,Dhaka ,2,4,8,4,3,3,3,4,2,1,3,2,2
1,20,5,2,mymensingh,2,4,8,4,5,3,5,5,2,3,2,2,4
1,20,5,2,RANGPUR,2,4,7,4,4,3,3,3,3,1,3,3,3
1,20,2,2,Madaripur,2,4,8,5,1,2,4,4,1,1,3,2,1
1,20,5,2,Dhaka,1,4,8,4,3,3,3,3,2,2,1,3,4
1,20,2,2,"Mohammadpur, Dhaka",2,4,8,5,4,1,1,4,2,3,2,1,2
2,20,5,1,Dhaka,2,4,8,3,3,3,1,4,1,3,2,1,3
1,20,3,5,Jhenaidah ,2,4,8,3,2,2,1,1,1,2,2,1,2
1,20,2,2,Eatpitha,2,4,8,1,5,1,1,4,1,2,1,3,5
2,20,5,2,Dhaka,2,4,8,5,4,3,3,5,2,2,2,2,4
1,20,5,2,Dhaka,2,4,8,5,5,3,5,5,3,3,1,3,2
1,20,2,2,Chuadanga,2,4,8,4,5,5,5,5,1,1,3,1,1
2,20,5,1,"Barishal, Muladi",2,4,8,4,3,5,5,5,2,1,3,1,2
1,20,2,2,Madaripur,2,4,8,5,1,2,4,4,3,1,1,2,5
2,26,3,3,"Ullahpara, Sirajgan.  ",2,4,8,5,1,5,4,5,3,3,3,3,5
2,20,5,2,Chittagong,2,4,8,4,5,5,5,5,2,3,1,1,3
1,26,2,2,"Uttar Matlab, Chandpur",2,4,8,2,4,3,3,3,1,3,3,3,3
1,20,5,2,Comilla,2,4,8,4,4,5,5,5,2,3,3,3,4
2,31,7,4,Pabna,1,1,7,3,2,4,5,3,3,1,2,1,3
1,20,5,3,Dhaka,2,4,8,4,5,5,5,5,3,2,3,3,3
1,26,2,2,Mymensingh ,2,4,8,3,3,4,1,4,1,3,2,1,2
1,26,6,2,"Shajahanpur, Bogura",2,4,8,5,3,4,5,5,3,1,1,3,2
2,20,5,2,"Kaligonj, Sathkhira",2,4,8,5,1,4,5,5,1,3,3,3,1
2,20,5,1,Chadpur,2,4,8,2,1,3,1,3,1,2,3,1,1
1,41,3,3,"Vatiary, Chittagong",1,1,4,3,4,5,5,5,1,1,3,3,1
2,20,1,1,Narail,2,4,8,2,1,1,3,5,2,2,3,2,3
1,20,2,2,"Mohammadpur, Dhaka",2,4,8,5,4,1,1,4,1,1,3,2,4
1,20,5,2,Dhaka,1,4,8,4,3,3,3,3,1,2,3,2,4
1,20,5,2,Comilla,2,4,8,4,4,5,5,5,1,2,1,3,3
1,20,5,2,Rajbari,2,4,8,4,3,4,5,5,1,2,3,1,1
1,20,2,2,Chuadanga,2,4,8,4,5,5,5,5,3,1,3,2,1
2,20,5,2,Dhaka,2,4,8,5,5,5,5,5,1,1,2,3,1
1,20,5,3,Chandpur ,2,4,8,2,2,2,1,2,1,2,3,2,1
1,41,3,3,Feni,1,2,4,4,4,2,5,2,2,3,2,2,5
2,20,5,1,"Fultala,Bagerhat",2,4,8,3,2,5,5,5,2,1,1,3,2
2,20,2,2,Jessore,2,4,8,4,1,1,1,5,1,2,3,3,1
1,31,4,5,Sirajganj ,2,4,8,4,1,5,1,4,1,1,2,1,3
2,20,5,2,Faridpur ,1,1,4,5,3,5,5,5,3,2,1,3,5
2,41,4,4,"Pahartoli, chittagong",1,3,7,2,5,5,4,5,1,2,1,1,4
1,20,5,2,Sirajgonj ,2,4,8,3,4,3,5,5,3,3,1,3,5
1,20,5,3,Gaibandha,2,4,8,1,1,5,5,5,1,2,1,2,3
2,20,1,1,Dhaka,2,4,8,5,3,3,5,5,2,3,3,3,3
2,20,5,4,Bagerhat ,2,4,8,5,1,4,4,5,1,2,1,1,2
1,20,4,2,Gopalganj,2,4,8,5,4,4,4,5,3,2,1,3,5
2,20,5,2,Comilla,2,4,8,3,1,3,4,5,1,3,2,3,1
1,20,6,3,Shariatpur,2,4,8,4,1,4,4,5,3,1,2,1,5
1,20,5,2,"Companyganj, Noakhali",2,4,8,5,3,2,4,5,2,1,1,1,1
2,20,2,2,Dhaka,2,4,8,4,5,3,4,5,2,2,1,2,3
1,20,5,3,Brahmanbaria ,2,4,8,3,3,4,5,5,2,2,2,2,2
1,20,5,3,Gaibandha,2,4,8,1,1,5,5,5,2,1,2,1,1
1,20,5,2,Dhaka city,2,4,8,3,4,4,4,5,1,2,2,3,2
1,20,5,2,????,2,4,8,2,5,5,3,5,2,2,1,2,4
2,20,5,1,Dhaka,2,4,8,3,3,3,1,4,2,1,1,1,3
2,20,5,1,B.baria,2,4,8,3,2,4,4,4,3,3,1,3,5
2,20,5,1,Dhaka,2,4,8,3,5,5,1,3,2,1,2,1,2
1,20,5,2,"Jessore Sadar,Jessore",2,4,8,3,1,4,5,5,2,1,3,1,2
2,20,6,4,"Mirpur, Dhaka",2,4,8,4,3,5,5,5,3,2,1,2,4
1,26,3,3,Barisal,2,4,8,3,3,3,5,5,1,1,1,1,1
1,20,5,2,Rajbari,2,4,8,4,3,4,5,5,3,1,3,3,1
2,26,4,2,Lakhsmipur,1,2,2,5,5,4,5,5,1,2,2,3,1
1,20,4,2,Rajshahi,2,4,8,5,1,5,1,4,1,2,1,3,3
2,20,5,1,Dhaka,2,4,8,2,4,4,4,5,3,2,1,1,4
1,20,5,2,Kushtia,2,4,8,3,2,4,4,5,3,2,3,1,3
1,20,5,2,"Kumarkhali, Kushtia",2,4,8,3,2,5,5,3,1,3,1,1,3
1,20,2,2,"Mohammadpur, Dhaka",2,4,8,5,4,1,1,4,3,1,1,2,4
2,20,5,4,Dhaka ,2,4,8,5,5,2,5,5,2,3,2,1,4
1,26,2,2,Mymensingh ,2,4,8,3,3,4,1,4,2,1,1,1,1
1,20,5,2,"Goila, Barisal",2,4,8,5,3,3,3,5,2,3,3,3,2
1,26,7,4,Dhaka,2,4,8,5,4,4,5,5,3,2,2,1,4
1,20,5,3,Brahmanbaria ,2,4,8,3,3,4,5,5,1,3,1,3,1
1,20,5,2,Rangpur,2,4,8,4,4,3,5,5,3,1,1,3,5
2,20,5,1,Dhaka,2,4,8,1,5,5,5,5,1,1,2,1,1
1,20,6,2,Sylhet,2,4,8,4,4,4,4,4,1,3,3,3,5
1,20,2,2,"Ghatail, Tangail",2,4,8,5,3,5,5,5,1,2,1,1,2
1,20,5,2,"Manirampur,Jashore",2,4,8,2,3,4,1,2,3,1,1,3,1
2,26,5,1,Dhaka,2,4,8,5,5,5,5,5,1,2,3,2,2
1,20,2,2,Ishwardi,2,4,8,4,4,5,5,5,2,3,2,3,3
1,20,2,2,Dhaka,2,4,8,3,5,5,5,5,1,2,2,3,2
1,36,4,5,Narayanganj ,1,3,6,5,3,5,5,5,1,1,3,3,1
1,20,3,3,Laksmipur,2,4,8,1,1,5,5,5,3,3,1,3,5
1,20,2,2,Chuadanga,2,4,8,4,5,5,5,5,2,1,1,3,2
1,20,5,3,Chandpur ,2,4,8,2,2,2,1,2,3,3,1,3,4
1,20,5,2,"Tongibari,Munshiganj ",2,4,8,4,3,4,3,5,2,2,3,3,3
1,26,5,2,Dhaka,2,4,8,5,5,1,1,5,1,2,1,3,2
2,26,1,1,Faridpur,1,2,1,1,5,5,5,5,1,1,3,3,2
1,20,5,2,"Mirzapur, Tangail",2,4,8,3,4,3,1,3,2,3,1,2,4
2,20,2,2,Jessore,2,4,8,4,1,1,1,5,3,3,2,2,5
1,36,4,3,Dhaka,2,4,8,5,4,5,3,4,1,1,1,2,5
1,31,3,3,Dhaka,2,4,8,3,5,5,5,5,2,1,3,1,3
2,20,6,3,Dhaka,2,4,8,5,1,5,5,5,1,1,2,3,1
1,20,5,2,Rajbari,2,4,8,4,3,4,5,5,2,3,2,3,3
2,20,5,1,Barisal,2,4,8,4,5,5,5,5,1,3,1,2,1
2,20,5,3,Barishal,2,4,8,4,3,4,4,5,3,1,1,3,3
2,20,5,1,"Fulgazi, Feni",2,4,8,3,5,2,5,3,2,3,1,1,2
2,20,5,2,Shatkhira,2,4,8,5,1,1,1,5,1,2,3,2,2
2,26,5,1,Dhaka,2,4,8,5,5,5,5,5,3,3,1,3,4
1,20,5,2,Dhaka,2,4,8,2,3,5,5,5,2,1,2,1,4
2,26,3,3,Rajshahi,1,1,3,2,4,4,5,5,2,2,1,3,3
1,20,6,2,Chittagong,2,4,8,5,2,1,1,5,1,3,2,1,2
1,20,2,2,Kishoreganj,2,4,8,4,2,2,4,5,3,1,1,1,1
1,20,2,2,Dhaka,2,4,8,3,5,5,5,5,2,3,3,1,5
2,20,5,4,Manikgonj,2,4,8,5,4,5,4,5,2,2,2,1,3
1,20,5,2,"Jhalakati,Barisal",2,4,8,4,3,1,1,5,1,1,2,3,1
2,20,4,2,"Palong, Shariatpur",2,4,8,3,1,3,5,5,3,1,1,3,5
1,20,5,2,Mymensingh ,2,4,8,4,5,3,5,5,1,2,1,1,3
1,20,5,2,Shariatpur,2,4,8,4,2,4,4,5,1,3,2,3,3
1,26,7,2,Brahmanbaria ,2,4,8,5,3,5,5,4,1,3,3,3,2
1,20,6,3,Shariatpur,2,4,8,4,1,4,4,5,2,1,2,2,3
2,26,3,3,"Ullahpara, Sirajgan.  ",2,4,8,5,1,5,4,5,2,3,1,3,3
1,20,6,2,Barishal,2,4,8,4,3,3,5,5,3,3,1,3,3
2,20,5,3,Rajshahi ,2,4,8,5,5,5,5,5,1,1,1,3,1
2,20,2,2,Dhaka,2,4,8,3,3,3,3,5,1,1,2,2,1
1,41,4,4,Chuadanga,1,1,3,5,3,5,5,5,3,2,2,1,5
2,20,5,1,Dhaka ,2,4,8,4,1,5,5,5,2,2,2,1,5
2,20,5,1,Brahmanbaria ,2,4,8,3,1,5,5,5,2,2,2,1,1
2,20,2,2,Dhaka,2,4,8,5,5,5,5,5,3,3,1,3,5
1,20,5,2,Dhaka,2,4,8,3,4,5,5,5,3,2,1,3,5
2,20,5,4,Manikgonj,2,4,8,5,4,5,4,5,1,3,1,2,1
1,20,3,3,DHAKA ,2,4,8,2,3,4,4,4,2,1,3,1,2
2,26,2,2,"Bhuapur, Tangail",2,4,8,2,3,4,5,5,2,1,2,3,2
2,20,5,2,Tangail,2,4,8,3,2,5,3,5,1,1,2,1,2
2,31,4,4,Dhaka,1,3,6,5,4,4,3,4,3,1,1,3,3
1,20,5,3,Brahmanbaria ,2,4,8,3,3,4,5,5,3,1,1,3,3
1,20,2,2,Dhaka,2,4,8,4,1,4,4,5,3,2,1,1,5
2,31,7,4,Pabna,1,1,7,3,2,4,5,3,1,3,3,3,2
1,20,5,2,"Cumilla Sadar, Cumilla",2,4,8,3,4,5,5,5,1,2,1,2,1
1,26,3,2,Dhaka,1,3,6,3,5,4,5,5,2,3,1,1,5
1,20,5,2,"Shahzadpur, Sirajganj ",2,4,8,5,1,4,3,4,2,3,1,2,4
1,26,5,3,"Nabinagar, Brahmanbaria ",2,4,8,4,5,5,5,5,3,3,2,2,4
1,20,5,3,"Badda, Dhaka",2,4,8,5,5,5,5,5,3,1,1,1,5
1,20,5,2,dhaka,2,4,8,3,3,3,3,3,1,1,1,2,4
2,20,2,2,Khulna,2,4,8,5,2,2,5,5,3,3,2,2,4
1,20,5,2,"Feni Sadar, Feni",1,4,8,4,2,5,5,5,1,3,3,1,1
2,20,5,1,"Patuakhal, Barishal ",2,4,8,2,3,4,5,5,2,2,2,3,2
1,20,5,2,"Parbatipur,Dinajpur",2,4,8,4,4,3,4,5,3,3,1,3,5
2,20,5,1,Dhaka,2,4,8,5,5,5,5,5,3,2,3,1,4
1,20,6,3,Shariatpur,2,4,8,4,1,4,4,5,1,3,3,3,1
2,20,5,2,"bogura,bogura",2,4,8,5,4,3,3,5,1,2,1,3,1
2,36,4,5,Gaibandha ,1,1,2,4,1,5,5,5,2,2,2,1,3
1,20,5,2,Dhaka city,2,4,8,3,4,4,4,5,2,3,3,1,4
2,20,5,2,Feni,2,4,8,3,1,3,3,5,3,3,2,2,5
2,20,5,4,Dhaka,2,4,8,5,3,5,5,5,2,2,3,2,3
1,20,5,2,Chittagong,2,4,8,4,1,4,1,5,2,2,3,3,3
1,20,5,3,"Kaliganj,Lalmonirhat ",2,4,8,4,2,4,5,5,3,1,3,3,5
2,20,5,1,Dhaka,2,4,8,4,4,4,5,5,2,1,3,3,4
1,20,3,3,"Chouddagra, Cumilla?  ",2,4,8,3,4,3,1,4,1,3,3,1,5
2,20,5,4,Dhaka,2,4,8,5,3,5,5,5,3,2,1,3,4
1,31,2,2,Brahambaria,1,3,6,4,3,4,4,4,3,1,1,3,2
1,26,2,2,"Uttar Matlab, Chandpur",2,4,8,2,4,3,3,3,3,1,2,1,3
2,20,5,1,"Fultala,Bagerhat",2,4,8,3,2,5,5,5,1,1,3,1,1
1,41,7,5,Bogura,1,2,4,4,4,2,5,4,3,2,3,2,4
2,20,2,2,Jessore ,1,1,4,4,2,4,5,5,1,3,2,2,2
1,26,2,2,Tangail,2,4,8,4,1,5,5,5,2,2,1,1,3
2,20,1,1,"Mymensingh ,Dhaka ",2,4,8,1,2,2,1,1,3,3,2,2,5
1,26,7,1,Dhaka,2,4,8,4,5,3,4,5,3,1,1,1,3
2,20,5,4,Manikgonj,2,4,8,5,4,5,4,5,3,2,3,3,4
2,20,4,1,Gazipur,2,4,8,3,3,5,3,5,1,2,2,2,4
1,20,5,2,"Demra,dhaka",2,4,8,4,5,3,4,5,3,1,1,2,5
1,20,7,4,Jamalpur,2,4,8,4,2,4,3,3,2,1,1,1,3
1,26,2,2,Kishoreganj,1,2,5,4,4,5,5,5,3,2,1,2,4
